store,item,amount
WAL*MART t,OPEN,$24.00
WAL*MART t,_ DISCOUNT GIVEN,$0.57
WAL*MART t,y a . CHANGE DUE,$5.89
WAL*MART t,"8,",$3.00
WAL*MART t,Total,$33.46
WAL*MART t,Receipt_Total,$5.11
( 5 a TRADER JOE’S,(,$5.00
( 5 a TRADER JOE’S,R-CARRUIS,$1.99
( 5 a TRADER JOE’S,R-CUCUMBERS PERSIAN,$1.00
( 5 a TRADER JOE’S,CRUSHED NO SALT,$1.59
( 5 a TRADER JOE’S,TOMATOES,$1.59
( 5 a TRADER JOE’S,FASHTUNED OATMEAL,$2.69
( 5 a TRADER JOE’S,ORGANIC OLO,$2.49
( 5 a TRADER JOE’S,MINI-PEARL TOMATOES,$3.99
( 5 a TRADER JOE’S,PKG,$3.79
( 5 a TRADER JOE’S,rege,$1.00
( 5 a TRADER JOE’S,BEANS wARBANZO,$2.35
( 5 a TRADER JOE’S,HASS Bau 4a,$3.99
( 5 a TRADER JOE’S,& avucalis,$2.59
( 5 a TRADER JOE’S,A APPLE Bau JAZC,$7.00
( 5 a TRADER JOE’S,BEL. Gaui a REU,$15.00
( 5 a TRADER JOE’S,a a,$2.45
( 5 a TRADER JOE’S,PITA BRE AL,$1.65
( 5 a TRADER JOE’S,WHE WHT,$136.00
( 5 a TRADER JOE’S,2 ¢,$0.69
( 5 a TRADER JOE’S,CASH,$1.32
( 5 a TRADER JOE’S,Total,$198.17
( 5 a TRADER JOE’S,Receipt_Total,$40.00
Give us feedback @ survey.walmart.com eg,TAX 1 7.750 %,$3.46
Give us feedback @ survey.walmart.com eg,DEBIT TEND,$49.90
Give us feedback @ survey.walmart.com eg,"""NETWORK ID",$56.00
Give us feedback @ survey.walmart.com eg,US DEBIT nage:,$2.00
Give us feedback @ survey.walmart.com eg,ie # ITEMS SOLD,$4.00
Give us feedback @ survey.walmart.com eg,Total,$115.36
Give us feedback @ survey.walmart.com eg,Receipt_Total,$49.90
"Walmart >,< ate",FATER OTs,$2.96
"Walmart >,< ate",SNACK BARS F,$4.98
"Walmart >,< ate",PEANUT BUTTR g,$2.00
"Walmart >,< ate",a,$61.00
"Walmart >,< ate",GALE ooooc000000sK,$32.00
"Walmart >,< ate",WAS 4.54 YOU SAVED,$0.64
"Walmart >,< ate",CASH TEND,$160.02
"Walmart >,< ate",CHANGE DUE,$6.00
"Walmart >,< ate",& ITEMS SOLD,$26.00
"Walmart >,< ate",4a UE A A,$1.00
"Walmart >,< ate",Total,$296.60
"Walmart >,< ate",Receipt_Total,$144.02
ais,almart,$2.00
ais,TAX 1 6.750 %,$4.59
ais,VALIDATION,$7.00
ais,ITEMS SOLD,$25.00
ais,Total,$38.59
ais,Receipt_Total,$98.21
"Walmart -,s. r",VINYL GLOVES 0199°3(pTOr,$32.89
"Walmart -,s. r",8-977oTa,$0.54
"Walmart -,s. r",tax,$1.00
"Walmart -,s. r",ITEMS SOLD,$5.00
"Walmart -,s. r",08/1 2FSTOMER,$21.00
"Walmart -,s. r",Total,$60.43
( TRADER JOE’S,HARVEST BREAD,$1.99
( TRADER JOE’S,PASTA WHOLE WHEAT PENNE ORGANI,$1.49
( TRADER JOE’S,BANANAS,$2.28
( TRADER JOE’S,=. @: 0..19/EA,$12.00
( TRADER JOE’S,MILK HALF GAL ALMOND UNSWEETEN,$2.99
( TRADER JOE’S,A-LEMON BAG 1 LB,$1.49
( TRADER JOE’S,ORGANIC LF VANILLA YOG- 32 0Z,$3.29
( TRADER JOE’S,R-CARROTS CUT & PEELED ORGANIC,$1.49
( TRADER JOE’S,R-STRAWBERRIES ORG 1 LB,$3.49
( TRADER JOE’S,A-AVOCADOS HASS BAG 4CT,$2.99
( TRADER JOE’S,UNSALTED BUTTER QUARTERS,$3.19
( TRADER JOE’S,TJ'S STRING CHEESE,$3.99
( TRADER JOE’S,VEG BROCCOLI FLORETS ORGANIC,$2.49
( TRADER JOE’S,LENTILS RED SPLIT,$1.69
( TRADER JOE’S,R-SALAD ORGANIC BABY SPINACH 6,$1.99
( TRADER JOE’S,TJ'S HONEY NUT O'S CEREAL,$2.49
( TRADER JOE’S,TJ'S BNLS SNLS CHICKEN BREASTS,$4.22
( TRADER JOE’S,A-APPLE BAG JAZZ 2 LB,$2.69
( TRADER JOE’S,A-POTATO BAG SWEET 2 LB,$1.79
( TRADER JOE’S,R-HERB CILANTRO BUNCH,$0.99
( TRADER JOE’S,BEANS BLACK,$3.56
( TRADER JOE’S,402 @ 0.89/02,$357.78
( TRADER JOE’S,HUMMUS 7 0Z,$1.99
( TRADER JOE’S,GROUND TURKEY,$2.99
( TRADER JOE’S,SWEET ITALIAN CKN SAUSAGE,$3.99
( TRADER JOE’S,TJ'S HONEY NUT O'S CEREAL,$2.49
( TRADER JOE’S,HARVEST BREAD,$1.99
( TRADER JOE’S,Total,$433.82
( TRADER JOE’S,Receipt_Total,$84.04
